lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,4249,0.5750163793563843,35,,,,,,,,,,,,,,
,4299,0.6361618638038635,35,,,,,,,,,,,,,,
,4319,,35,0.6606317758560181,20.536109924316406,6.601683616638184,1.9051839113235474,12.029242515563965,,,,,,,,,
,4319,,35,,,,,,20.652788162231445,5.932682037353516,2.6811423301696777,12.038963317871094,,,,,
0.00027373174538009633,4320,,,,,,,,,,,,,,,,
,4349,0.6255068182945251,36,,,,,,,,,,,,,,
,4399,0.7161691188812256,36,,,,,,,,,,,,,,
,4439,,36,0.6761322617530823,21.444395065307617,7.332742691040039,2.1488702297210693,11.962782859802246,,,,,,,,,
,4439,,36,,,,,,20.565155029296875,6.0087432861328125,2.711312770843506,11.845099449157715,,,,,
0.0002395119669243835,4440,,,,,,,,,,,,,,,,
,4449,0.6414112448692322,37,,,,,,,,,,,,,,
,4499,0.5858989357948303,37,,,,,,,,,,,,,,
,4549,0.7352690696716309,37,,,,,,,,,,,,,,
,4559,,37,0.6665657162666321,20.669029235839844,4.56358003616333,3.5002214908599854,12.605228424072266,,,,,,,,,
,4559,,37,,,,,,19.4622859954834,5.463603496551514,2.607597827911377,11.391084671020508,,,,,
0.00020690126647990968,4560,,,,,,,,,,,,,,,,
,4599,0.5136611461639404,38,,,,,,,,,,,,,,
,4649,0.5103634595870972,38,,,,,,,,,,,,,,
,4679,,38,0.6301748752593994,20.115196228027344,5.050952434539795,2.6362428665161133,12.428001403808594,,,,,,,,,
,4679,,38,,,,,,18.65989112854004,5.346938133239746,2.5006539821624756,10.812299728393555,,,,,
0.00017610069985907328,4680,,,,,,,,,,,,,,,,
,4699,0.552489161491394,39,,,,,,,,,,,,,,
,4749,0.5447705984115601,39,,,,,,,,,,,,,,
,4799,0.48468977212905884,39,,,,,,,,,,,,,,
,4799,,39,0.6441272497177124,19.89366340637207,4.652193069458008,3.167922019958496,12.073549270629883,,,,,,,,,
,4799,,39,,,,,,18.468090057373047,5.392594814300537,2.4483065605163574,10.627189636230469,,,,,
0.0001473001627973195,4800,,,,,,,,,,,,,,,,
,4849,0.4822871685028076,40,,,,,,,,,,,,,,
